[2026-05-29T00:00:25.574Z] [SyncDiag] FIELD-LOGGER: work_orders row=714980ce-4d77-4e86-bc48-e8fc5f80b297 — 1 fields changed, isInsert=false, vesselId=744dc41e-841a-11ed-aa7c-7003bca91a86, instanceId=SHORE-PROD
[2026-05-29T00:00:25.583Z] [SyncDiag] FIELD-LOGGER: work_orders row=34703150-2822-427d-8294-516a9550e875 — 1 fields changed, isInsert=false, vesselId=744dc41e-841a-11ed-aa7c-7003bca91a86, instanceId=SHORE-PROD
[2026-05-29T00:00:25.591Z] [SyncDiag] FIELD-LOGGER: work_orders row=8ee73047-3acc-406f-8af7-a6d9bf8112b2 — 1 fields changed, isInsert=false, vesselId=744dc41e-841a-11ed-aa7c-7003bca91a86, instanceId=SHORE-PROD
[2026-05-29T00:00:25.602Z] [SyncDiag] FIELD-LOGGER: work_orders row=1aa1d957-6ad3-483b-9fba-2c1a443981a7 — 1 fields changed, isInsert=false, vesselId=744dc41e-841a-11ed-aa7c-7003bca91a86, instanceId=SHORE-PROD
[2026-05-29T00:00:25.610Z] [SyncDiag] FIELD-LOGGER: work_orders row=6f27ea2f-2365-437e-9394-c308fac801b7 — 1 fields changed, isInsert=false, vesselId=cd03135a-f38a-40de-b7d6-27ba85b633dc, instanceId=SHORE-PROD
[2026-05-29T00:00:25.616Z] [SyncDiag] FIELD-LOGGER: work_orders row=21dac58b-19a2-420f-842e-ae05a145ebba — 1 fields changed, isInsert=false, vesselId=cd03135a-f38a-40de-b7d6-27ba85b633dc, instanceId=SHORE-PROD
[2026-05-29T00:00:25.624Z] [SyncDiag] FIELD-LOGGER: work_orders row=2940b356-999b-4305-ad20-d197a1f8f354 — 1 fields changed, isInsert=false, vesselId=744dc41e-841a-11ed-aa7c-7003bca91a86, instanceId=SHORE-PROD
[2026-05-29T00:00:25.631Z] [SyncDiag] FIELD-LOGGER: work_orders row=1aaacb60-0c75-4402-a2a1-84f70f6d615b — 1 fields changed, isInsert=false, vesselId=744dc41e-841a-11ed-aa7c-7003bca91a86, instanceId=SHORE-PROD
[2026-05-29T00:00:25.637Z] [SyncDiag] FIELD-LOGGER: work_orders row=ee7d8570-26d2-45b1-a795-48b76089bbb0 — 1 fields changed, isInsert=false, vesselId=cd03135a-f38a-40de-b7d6-27ba85b633dc, instanceId=SHORE-PROD
[2026-05-29T00:00:25.647Z] [SyncDiag] FIELD-LOGGER: work_orders row=c043ebd0-dbfc-457e-9947-d9c8e48f04ae — 1 fields changed, isInsert=false, vesselId=744dc41e-841a-11ed-aa7c-7003bca91a86, instanceId=SHORE-PROD
[2026-05-29T00:00:25.656Z] [SyncDiag] FIELD-LOGGER: work_orders row=0e095451-b7e1-4328-a23e-2fdf81ada019 — 1 fields changed, isInsert=false, vesselId=744dc41e-841a-11ed-aa7c-7003bca91a86, instanceId=SHORE-PROD
