Sequence,#,Master ID,Certificate Name,Category,Group ID,Requirement/Ref,
1,1,A1-001,Certificate of Registry,A,1,UNCLOS Article 94; National Regulations,
2,2,A1-002,Certificate of Class,A,1,IACS Rules; SOLAS I/6,
3,3,A1-003,International Tonnage Certificate (1969),A,1,"Tonnage 1969, Article 7",
4,4,A1-004,International Load Line Certificate,A,1,"LL 1966, Article 16; LL PROT 1988, Article 16",
5,5,A1-005,International Load Line Exemption Certificate,A,1,"LL 1966, Article 16; LL PROT 1988, Article 16",
6,6,A1-006,Load Line 1966 - Conditions of Freeboard Assignment,A,1,"LL 1966, Article 16; LL PROT 1988, Article 16",
7,7,A1-007,Exemption Certificate (SOLAS),A,1,"SOLAS 1974, Reg I/12; SOLAS PROT 1988, Reg I/12",
8,8,A1-008,Cargo Ship Safety Construction Certificate,A,1,SOLAS I/12; 1988 Prot I/12,
9,9,A1-009,Cargo Ship Safety Equipment Certificate,A,1,SOLAS I/12; 1988 Prot I/12,
10,10,A1-010,Record of Safety Equipment (Form 'E'),A,1,SOLAS I/12; 1988 Prot I/12,
11,11,A1-011,Cargo Ship Safety Radio Certificate,A,1,SOLAS I/12 (GMDSS); 1988 Prot I/12,
12,12,A1-012,Record of Radio Equipment (Form 'R'),A,1,SOLAS I/12 (GMDSS); 1988 Prot I/12,
13,13,A1-013,Record of Approved GMDSS Radio Installation,A,1,SOLAS I/12 (GMDSS); 1988 Prot I/12,
14,14,A1-014,GMDSS Shore Based Maintenance Certificate,A,1,SOLAS I/12 (GMDSS); 1988 Prot I/12,
15,15,A1-015,Ship Radio Station Licence,A,1,,
16,16,A1-016,Cargo Ship Safety Certificate,A,1,SOLAS 1988 Prot I/12,
17,17,A1-017,International Oil Pollution Prevention Certificate,A,1,"MARPOL Annex I, Reg 7",
18,18,A1-018,IOPP Form A (Ships Other than Oil Tankers),A,1,"MARPOL Annex I, Reg 7",
19,19,A1-019,IOPP Form B (Oil Tankets),A,1,"MARPOL Annex I, Reg 7",
20,20,A1-020,International Sewage Pollution Prevention Certificate,A,1,"MARPOL Annex IV, Reg 5",
21,21,A1-021,International Air Pollution Prevention Certificate,A,1,"MARPOL Annex VI, Reg 6",
22,22,A1-022,Record of Construction and Equipment (Annex VI) IAPP,A,1,"MARPOL Annex VI, Reg 6",
23,23,A1-023,Engine International Air Pollution Prevention Certificate,A,1,"MARPOL Annex VI, Reg 13",
24,24,A1-024,Safety Management Certificate (SMC),A,1,SOLAS IX/4; ISM Code §13,
25,25,A1-025,Document of Compliance (DOC),A,1,SOLAS IX/4; ISM Code §13,
26,26,A1-026,International Ship Security Certificate (ISSC),A,1,SOLAS XI-2/9.1.1; ISPS Code Part A §19,
27,27,A1-027,Letter of Approval for the Ship Security Plan,A,1,SOLAS XI-2/9.1.1; ISPS Code Part A §19,
28,28,A1-028,Continous Synopsis Record (CSR),A,1,SOLAS,
29,29,A1-029,International Energy Efficiency Certificate (IEEC),A,1,"MARPOL Annex VI, Reg 6",
30,30,A1-030,Record of construction for the IEE Certificate,A,1,"MARPOL Annex VI, Reg 6",
31,31,A1-031,EEDI Technical File,A,1,"MARPOL Annex VI, Reg 6",
32,32,A1-032,EEXI Technical File,A,1,"MARPOL Annex VI, Reg 6",
33,33,A1-033,Statement of Compliance – Fuel Oil Consumption Reporting,A,1,"MARPOL VI Regs 6, 27, 28",
34,34,A1-034,International Anti-Fouling System Certificate,A,1,"AFS 2001, Annex 4 Reg 2",
35,35,A1-035,Record of the Anti Fouling System / Endorsement of the Record,A,1,"AFS 2001, Annex 4 Reg 2",
36,36,A1-036,Civil Liability Insurance Certificate (CLC Bunker Oil),A,1,"Bunkers 2001, Article 7",
37,37,A1-037,Civil Liability Insurance Certificate (CLC Wreck Removal),A,1,"Nairobi WRC 2007, Article 12",
38,38,A1-038,Minimum Safe Manning Certificate,A,1,SOLAS V/14; STCW Reg I/14,
39,39,A1-039,International Ballast Water Management Certificate,A,1,"BWM 2004, Article 19 & Annex Reg E-2",
40,40,A1-040,Certificate of Entry (P&I),A,1,Flag State Regulations,
41,41,A1-041,Ship Sanitation Control Certificate (SSCC)/ Exemption Certificate,A,1,WHO International Health Regulations (IHR 2005),
42,42,A1-042,Maritime Labour Convention (MLC) Certificate,A,1,"MLC, 2006 Title 5",
43,43,A1-043,Declaration of Maritime Labour Convention I (DMLC I),A,1,"MLC, 2006 Title 5",
44,44,A1-044,Declaration of Maritime Labour Convention II (DMLC II),A,1,"MLC, 2006 Title 5",
45,45,A1-045,Certificate of Insurance in Respect of Repatriation Costs,A,1,"MLC 2006, Regulation 2.5, Standard A2.5.2",
46,46,A1-046,Certificate of Insurance in Respect of Shipowner’s Liability (Death/Disability),A,1,"MLC 2006, Regulation 4.2, Standard A4.2.1",
47,47,A1-047,International Certificate on Inventory of Hazardous Materials (IHM Certificate),A,1,"Hong Kong Convention (2009), Article 5, EU SRR 1257/2013",
48,48,A1-048,Voyage Data Recorder – Certificate of Compliance,A,1,SOLAS V/18.8,
49,49,A1-049,AIS – Annual Test Report,A,1,SOLAS V/18.9; MSC.1/Circ.1252,
50,50,A2-001,Civil Liability Insurance for Oil Pollution Damage (CLC Oil),A,2,"CLC 1992, Article VII",
51,51,A2-002,Condition Assessment Scheme (CAS) Statement,A,2,"MARPOL I Reg 20, 21; MEPC.94(46)",
52,52,A3-001,International Pollution Prevention Certificate for Noxious Liquid Substances,A,3,"MARPOL Annex II, Reg 9",
53,53,A4-001,Certificate of Fitness (Dangerous Chemicals),A,4,BCH Code §1.6,
54,54,A4-002,International Certificate of Fitness (Dangerous Chemicals),A,4,IBC Code §1.5,
55,55,A4-003,Addendum to the Ships Certificate of Fitness,A,4,BCH Code §1.6,
56,56,A5-001,Certificate of Fitness (Liquefied Gases),A,5,GC Code §1.6,
57,57,A5-002,International Certificate of Fitness (Liquefied Gases),A,5,IGC Code §1.4,
58,58,A6-001,International Certificate of Fitness for INF Cargo,A,6,SOLAS VII/16; INF Code §1.3,
59,59,A7-001,IMSBC Code Fitness certificate,A,7,,
60,60,,Document of Authorization for the Carriage of Grain,A,7,,
61,61,A8-001,Document of Compliance for Dangerous Goods,A,8,SOLAS II-2/19.4,
62,62,A8-002,Polar Ship Certificate,A,8,Polar Code Part I-A §1.3,
63,63,A9-001,Suez Canal Tonnage Certificate,A,9,Suez Canal regulations,
64,64,A9-002,Panama Canal Tonnage Certificate,A,9,Panama Canal regulations,
65,65,A9-003,USCG COC,A,9,USCG Regulations,
66,66,A9-004,USCG COFR,A,9,USCG Regulations,
67,67,A9-005,California COFR,A,9,California (US) Regulations,
67,67,B10-001,ISO 9001,B,10,,
67,67,B10-002,ISO 14001,B,10,,
67,67,B10-003,ISO 45001,B,10,,
67,67,B10-004,ISO 50001,B,10,,
,,,,,,,
,,,,,,,
