Level 1 Description,Level 2 Description,Level 3 Description
SHIP GENERAL,Ship General,Ship General
SHIP GENERAL,Vessel Certification,Special Survey
SHIP GENERAL,Consumable Items,Miscellaneous Consumable Items
HULL,Hull,Hull
HULL,Tanks,"Cofferdams, Voids and Misc Tanks"
HULL,Tanks,Engine Room Tanks
HULL,Tanks,Cargo And Ballast Tanks
HULL,Accomodation Block,Accomodation Block
HULL,Accomodation Block,Doors And Windows
HULL,Accomodation Block,Internal Fixtures And Fittings
HULL,Hull Outfitting,External Handrails And Ladders
HULL,Hull Outfitting,Hull Fittings
HULL,Hull Outfitting,External Lifting Equipment
HULL,Hull Outfitting,Funnel Space
HULL,Material Protection - External,Material Protection - External
HULL,Sea Water System - Antifouling,Sea Water System - Antifouling
EQUIPMENT FOR CARGO,Discharging Systems,Discharging Systems
EQUIPMENT FOR CARGO,Gas/Vent Systems - Cargo Holds & Tanks,Vent/Gas Freeing Systems
EQUIPMENT FOR CARGO,Gas/Vent Systems - Cargo Holds & Tanks,Cargo System Protection Devices
EQUIPMENT FOR CARGO,Gas/Vent Systems - Cargo Holds & Tanks,Inert Gas Systems
EQUIPMENT FOR CARGO,Auxiliary Systems & Equipments - Cargo,Cargo System Instrumentation
EQUIPMENT FOR CARGO,Auxiliary Systems & Equipments - Cargo,Cooling Water Systems For Cargo Eq.
SHIP EQUIPMENT,Manoeuvring Equipment,Rudder
SHIP EQUIPMENT,Manoeuvring Equipment,"Rudder Carriers, Stocks, Bearings"
SHIP EQUIPMENT,Manoeuvring Equipment,Steering Gear
SHIP EQUIPMENT,Manoeuvring Equipment,Thruster
SHIP EQUIPMENT,Navigation Equipment,Radar Plants
SHIP EQUIPMENT,Navigation Equipment,Positioning Data Equipment
SHIP EQUIPMENT,Navigation Equipment,"Gyro Plants, Autopilots, Compasses"
SHIP EQUIPMENT,Navigation Equipment,Echo Sounder And Logs
SHIP EQUIPMENT,Navigation Equipment,Trim And Load Indicators
SHIP EQUIPMENT,Navigation Equipment,Misc Nautical Equipment
SHIP EQUIPMENT,Navigation Equipment,Masts
SHIP EQUIPMENT,Navigation Equipment,Integrated Navigation Systems
SHIP EQUIPMENT,Communication Equipment,Mf/Hf Inc Gmdss
SHIP EQUIPMENT,Communication Equipment,Lifeboat Communication Equipment
SHIP EQUIPMENT,Communication Equipment,External Communication/ Sat Comms
SHIP EQUIPMENT,Communication Equipment,Vhf/Uhf Telephones
SHIP EQUIPMENT,Communication Equipment,Internal Communication Systems
SHIP EQUIPMENT,Communication Equipment,"Light, Sound & Signal Equipment"
SHIP EQUIPMENT,"Anchoring, Mooring & Towing Equipment",Anchors And Chains
SHIP EQUIPMENT,"Anchoring, Mooring & Towing Equipment",Windlasses And Winches
SHIP EQUIPMENT,"Anchoring, Mooring & Towing Equipment",Fixed Mooring Equipment
SHIP EQUIPMENT,"Anchoring, Mooring & Towing Equipment",Towing Equipment
SHIP EQUIPMENT,Workshop Equipment,E/R Tools And Welding Equipment
SHIP EQUIPMENT,Workshop Equipment,Portable Tools And Equipment
SHIP EQUIPMENT,Workshop Equipment,Painting Equipment
SHIP EQUIPMENT,Workshop Equipment,Cleaning Plant/ Equipment
SHIP EQUIPMENT,Workshop Equipment,Garbage Disposal Plants/ Incinerators
SHIP EQUIPMENT,Lifting and Trasnport Equipment,Lifting Equipement - Machinery Spaces
SHIP EQUIPMENT,Special Equipement,Condition Monitoring Equipment
SHIP EQUIPMENT,Special Equipement,Vibration Cancelling Equipment
SHIP EQUIPMENT,Special Equipement,Citadel
SHIP EQUIPMENT,Special Equipement,Environmental Protection Equipment
EQUIPMENT FOR CREW AND PASSANGERS,"Lifesaving, Protection and Medical Equip",Safety Training 
EQUIPMENT FOR CREW AND PASSANGERS,"Lifesaving, Protection and Medical Equip",Lifeboat and Equipment
EQUIPMENT FOR CREW AND PASSANGERS,"Lifesaving, Protection and Medical Equip",Liferafts and Equipment
EQUIPMENT FOR CREW AND PASSANGERS,"Lifesaving, Protection and Medical Equip","Lifesaving, safety and Emergency Equipment"
EQUIPMENT FOR CREW AND PASSANGERS,"Lifesaving, Protection and Medical Equip",Medical Equipment
EQUIPMENT FOR CREW AND PASSANGERS,Sports / Entertainment Equipment,Sports / Entertainment Equipment
EQUIPMENT FOR CREW AND PASSANGERS,"Galley/Pantry Equipment,Prov Plants,Laundry",Galley Equipment
