No.,Short Text
2.1.1,Maintenance of Statutory Certification
2.2.1,Superintendent vessel inspection and report
2.2.2,Internal ISM audit
2.2.3,Master's Review of the SMS.
2.3.1,Structural concerns and Enhanced Survey File.
2.3.2,Structural concerns and Class Survey File.
2.3.3,"Cargo, ballast & void space inspection"
2.3.4,"Monitoring cargo, ballast & void spaces for leakage and contamination"
2.3.5,Condition Assessment Program (CAP)
2.4.1,Defect reporting system
2.4.2,"Defect reporting to class, flag etc"
2.5.1,Management of Change
2.6.1,Ballast Water Management Plan
2.6.2,VOC Management Plan.
2.6.3,Ship Energy Efficiency Management Plan (SEEMP).
2.7.1,Availability of SMS content to all crew.
2.7.2,Communication lines with the company and DPA.
2.8.1,HVPQ accurately completed.
2.8.2,Last Port State Control Inspection.
3.1.1,Crew qualifications and matrix verification.
3.1.2,Designated working language.
3.1.3,"Minimum, standard and enhanced manning levels."
3.2.1,Static navigational assessment
3.2.2,Dynamic navigational assessment by a company representative
3.2.3,Dynamic navigational assessment by a specialist contractor
3.2.4,Unannounced remote navigational assessment
3.2.5,Comprehensive cargo audit by a company representative
3.2.6,Comprehensive engineering audit by a company representative
3.2.7,Comprehensive mooring and anchoring audit by a company representative
3.2.8,Behavioural Competency Assessment Programme
3.3.1,Shore-based Bridge Team Management training
3.3.2,Formal ship handling training
3.3.3,Cargo operations shore-based simulator course
3.3.4,Shore-based engine room management simulator course
3.3.5,Training for Dynamically Positioned (DP) operators
3.3.6,LNG or other low-flashpoint fuel training and familiarisation.
3.4.1,"Hours of rest, records and monitoring"
3.4.2,Drug and alcohol abuse prevention
3.5.1,"Familiarisation of crew, visitors and contractors"
3.5.2,Training and instruction LSA and FFA
3.5.3,Familiarisation with ECDIS equipment installed on board.
4.1.1,ECDIS set up and operation
4.1.2,Operation and testing of radar/ARPA
4.1.3,Operating and testing the steering control systems
4.1.4,Automatic Identification System (AIS)
4.1.5,Bridge Navigational Watch Alarm System (BNWAS)
4.1.6,Global Navigation Satellite System(s)
4.1.7,Echo sounder
4.1.8,Speed and distance measuring devices
4.1.9,Navigation lights and shapes
4.1.10,NAVTEX and SafetyNET
4.1.11,Preserving data from the VDR/S-VDR
4.1.12,Magnetic and gyro compasses
4.1.13,VHF/DSC transceivers
4.1.14,Daylight signalling lamp
4.1.15,Sound signalling equipment
4.2.1,Passage planning
4.2.2,Under keel clearance (UKC) policy
4.2.3,Master's Standing Orders and Daily Orders
4.2.4,Electronic chart management.
4.2.5,Paper chart management
4.2.6,"Testing navigational equipment, main propulsion, steering gear and thrusters"
4.2.7,Nautical publications
4.3.1,Minimum bridge team composition
4.3.2,Machinery space team composition
4.3.3,Integrating a pilot (or similar role) into the bridge team
4.3.4,Bridge distractions.
4.4.1,Emergency Position Indicating Radio Beacon (EPIRB)
4.4.2, Search and Rescue Transmitters (SARTs)
4.4.3,Survival craft portable two-way VHF radios
4.4.4,"Sending and receiving distress, urgency and safety messages"
4.4.5,Operation and testing of GMDSS station.
4.4.6,Use of radio or mobile telephone equipment during cargo and ballast handling
4.5.1,Annual DP Trial report and supporting exercises.
4.5.2,DP Position Reference Systems
4.5.3,DP events and incidents
4.5.4,DP operations manual
4.5.5,Field Operations Manuals
5.1.1,Records of mandatory and company defined emergency drills
5.1.2,Emergency plans & drills for principal fire scenarios
5.1.3,Pollution prevention drills required by SOPEP or SMPEP
5.1.4,Enclosed space rescue emergency response drill.
5.1.5,Drills required by the Ship Security Plan (SSP)
5.1.6,Launching the lifeboat(s) and abandon ship drills
5.1.7,"Emergency plan & drills for a cargo vapour or liquid release, Including potential fire"
5.1.8,Emergency plan & drills for collision
5.1.9,Emergency plan & drills for grounding
5.1.10,Emergency plan & drills for loss of propulsion
5.1.11, Emergency plan & drills for failure of electrical power
5.1.12,Steering gear failure emergency drill.
5.1.13,Emergency plan & drills for emergency towing
5.1.14,Man overboard emergency drill.
5.1.15,Emergency response plan & drills for recovery of persons from the water
5.1.16,Emergency plans & drills for flooding
5.1.17,Emergency plans and drills for LNG bunker operations
5.1.18,Cargo leak into double hull spaces.
5.1.19,OBO Forward space emergency pumping arrangements
5.2.1,Emergency fire pump
5.2.2,Fire dampers & ventilation stops
5.2.3,Fixed fire detection and fire alarm system
5.2.4,Machinery space fixed carbon dioxide fire extinguishing system
5.2.5,Machinery space fixed high-expansion foam fire extinguishing system
5.2.6,Machinery space fixed pressure water-spraying fire extinguishing system
5.2.7,"Fire pumps, fire main, fire main isolating valves and fire hydrants"
5.2.8,Galley fixed and portable fire extinguishing systems & fire prevention
5.2.9,Water-spray system on deck
5.2.10,Cargo handling equipment space(s) fixed fire extinguishing system
5.2.11,Fixed dry chemical powder fire extinguishing system
5.2.12,Paint locker fixed fire-extinguishing system
5.2.13,Machinery space fixed water-based or equivalent local application fire-fighting system
5.2.14,"Cargo, ballast and stripping pump temperature sensing devices"
5.2.15,"Deck foam system, including portable applicators"
5.2.16,Fire doors
5.3.1,Firefighter’s outfits including self-contained breathing apparatus (SCBA)
5.3.2,"Fire hoses, nozzles and international shore connection"
5.3.3,Portable fire extinguishers
5.3.4,Emergency Escape Breathing Devices (EEBDs)
5.3.5,Wheeled (mobile) fire extinguishers
5.4.1,"Davit-launched lifeboats, release mechanisms and launching appliances"
5.4.2,"Free-fall lifeboat, its release systems and its launching appliance"
5.4.3,Dedicated rescue boat and launching appliance
5.4.4,Rocket parachute flares and line throwing appliances
5.4.5,"Liferafts, hydrostatic releases and liferaft launching appliances"
5.4.6,"Lifebuoys, and associated lights, smoke floats and lifelines"
5.4.7,Immersion suits
5.4.8,Lifejackets and personal flotation devices (PFDs)
5.4.9,Emergency lighting.
5.5.1,Enclosed space entry procedures
5.5.2,Hot work procedure
5.5.3,Working at height
5.5.4,Working over the side
5.5.5,Working on electrical equipment and systems
5.5.6,Control of hazardous energy
5.6.1,Portable and personal gas measurement instruments
5.6.2,Testing the atmosphere in double-hull and double bottom spaces for flammable gas
5.6.3,Fixed gas detection systems required by the IGC Code
5.6.4,Fixed gas detection system required by the IGF Code
5.6.5,Cargo pump room fixed gas detection system
5.6.6,Oxygen sensors in inert gas system spaces.
5.7.1,Incident investigation reports for defined incidents
5.7.2,Incident and near-miss reporting procedure
5.7.3,Shipboard safety meetings
5.7.4,Work planning procedure
5.7.5,Stop Work Authority
5.7.6,"Risk assessments for  new, non-routine, unplanned or specified tasks"
5.7.7,Safety Data Sheets.
5.7.8,Simultaneous Operations (SIMOPS) procedure
5.8.1,Safety inspection of the main deck and mooring areas.
5.8.2,Safety inspection of the machinery space.
5.8.3,Safety inspections of the cargo pumproom
5.8.4,Cargo machinery rooms safety inspections
5.8.5,Safety inspection of the forecastle spaces
5.8.6,Safety inspections of the accommodation spaces
5.8.7,Ballast and/or bunker pumproom safety inspection
5.9.1,"Lifting and rigging equipment procedures, maintenance and inspection"
5.9.2,Spare parts for a single cargo hose handling crane.
5.10.1,Pilot boarding arrangements
5.10.2,Accommodation ladders
5.10.3,Safe access to the vessel while alongside a terminal/berth
5.10.4,Personnel transfer by crane
5.10.5,Helicopter operations
5.10.6,Helicopter facilities
5.10.7,Escape routes
5.11.1,Cargo and bunker sample management.
5.12.1,Respiratory protective equipment
5.12.2,Decontamination showers and eyewash stations.
6.1.1,Cargo Record Book
6.1.2,Oil Record Book Part II
6.1.3,Oil Record Book Part I
6.1.4,Garbage Record Book
6.1.5,Ozone Depleting Substances Record Book
6.1.6,MARPOL Annex VI NOx Compliance and Record Keeping.
6.2.1,Flooding or accidental leakage of cargo pumproom bilges
6.2.2,Cargo system overboard and sea suction valves
6.2.3,Bunker pipeline system pressure testing
6.3.1,Ballast water management system (BWMS)
6.4.1,Main deck oil or chemical spill clean up equipment.
6.4.2,Disposal of oily water in the forecastle and other internal spaces
6.5.1,Emergency arrangements to pump out the machinery space bilges
6.5.2,Incinerator operation.
6.6.1,Oil filtering equipment.
6.6.2,Oil discharge monitoring and control system (ODME)
7.1.1,Security threat and risk assessment during passage planning.
7.2.1,Vessel hardening.
7.2.2,Controlling access to the vessel
7.3.1,Ship security reporting and communications
7.4.1,Ship Security Officer (SSO).
7.5.1,Cyber security risk management.
8.1.1,Inert gas system usage on oil tankers.
8.1.2,Crude Oil Washing operations (COW)
8.1.3,Cargo tank isolation from venting system.
8.1.4,Oil cargo tank cleaning procedures.
8.2.1,Chemical tanker inert gas system usage.
8.2.2,Carriage of inhibited chemical cargoes.
8.2.3,Procedures and Arrangements Manual.
8.2.4,Chemical tank cleaning procedures.
8.2.5,Chemical cargo compatibility charts.
8.2.6,Escape sets required by IBC Code.
8.2.7,Safety equipment required by the IBC Code.
8.2.8,Protective equipment required by the IBC Code.
8.3.1,Inert gas generator
8.3.2,Nitrogen generator inert gas system
8.3.3,Flue gas inert gas system
8.3.4,Cargo tank high level and overfill alarms.
8.3.5,Gauging and sampling static accumulator cargo in non-inerted tanks.
8.3.6,Loading static accumulator cargo into non-inerted tanks.
8.3.7,IGS oxygen analyser
8.3.8,Oil and Chemical Tanker ESD and/or cargo pump emergency stop controls.
8.3.9,"Pressure testing and inspection of cargo, inert gas and vapour pipelines."
8.3.10,Vapour collection system.
8.3.11,Oil and chemical tank cleaning in non-inert tanks.
8.3.12,Portable ullage/temperature/interface (UTI) measurement and sampling equipment.
8.3.13,Secondary venting systems.
8.3.14,Cargo tank venting systems.
8.3.15,Deepwell pump cofferdam purging.
8.3.16,Inert gas system non-return devices
8.3.17,Manifold reducers and spool pieces.
8.3.18,Inert gas system pressure/vacuum-breaking (P/V) device(s)
8.3.19,Indicators and alarms for the inert gas system
8.3.20,Connections and interconnections to/with the inert gas system piping
8.3.21,Cargo heating system
8.3.22,Cargo doping and additives.
8.3.23,Cargo tank temperature monitoring systems.
8.3.24,Cargo manifold arrangements.
8.3.25,Receiving nitrogen from shore
8.4.1,Carriage of inhibited cargoes.
8.4.2,Cargo sampling
8.4.3,Segregating incompatible cargoes and refrigerants
8.4.4,Carriage of propylene oxide (PO) and/or ethylene oxide (EO)
8.4.5,Escape sets as required by the IGC Code
8.4.6,Cargo tank insulation
8.4.7,Vent outlet protection screens or flame screens
8.5.1,Custody transfer measurement system (CTMS)
8.5.2,Gas Combustion Unit (GCU)
8.5.3,LNG gas fuel supply system
8.5.4,Cold spots and cofferdam temperature monitoring and heating equipment.
8.6.1,Cargo tank overfill alarms
8.6.2,Cargo transfer Emergency Shut Down (ESD)
8.6.3,Cargo tank relief valves
8.6.4,Cargo System Operation Manual
8.6.5,Maintaining the atmosphere in the interbarrier spaces and/or hold spaces
8.6.6,Cargo system alarm management
8.6.7,Inert gas system
8.6.8,Gas vessel cargo manifolds
8.6.9,"Manifold reducers, spool pieces and other portable pipework"
8.6.10,Emergency discharge operations
8.6.11,Cargo and vapour pipeline insulation and expansion arrangements
8.6.12,"IGC safety, rescue and recovery equipment"
8.6.13,Protective equipment required by the IGC Code
8.6.14,Reliquefaction plant
8.6.15,"Cargo heaters, vaporisers and condensers"
8.6.16,Filling Limits (FL) and Loading Limits (LL)
8.6.17,Vent mast fire suppression system
8.6.18,Water or liquid cargo leakage into a hold or insulation space
8.6.19,Submerged motor electric cargo pumps
8.6.20,"Liquid line, hold, insulation and inter-barrier space relief valves"
8.6.21,"Inerting, gas freeing and gassing up operations"
8.7.1,BLS Emergency Shut Down (ESD) systems
8.7.2,Checks when approaching an offshore terminal.
8.7.3,Control and monitoring of the Bow Loading System (BLS)
8.7.4,"Bow Loading System (BLS) operation, inspection, testing and maintenance."
8.7.5,Deluge system in the bow loading system (BLS) area
8.7.6,Fixed foam fire extinguishing system in the bow loading system (BLS) area
8.7.7,DP Equipment condition and maintenance
8.7.8,DP FMEA
8.7.9,Gas and fire detection systems in the bow loading system (BLS) area
8.8.1,Cargo hold hatch covers
8.8.2,Changing between wet and dry cargoes
8.99.1,Cargo and ballast transfer planning and execution.
8.99.2,Ship/Shore Safety Checklist (SSSCL)
8.99.3,Cargo operations team composition.
8.99.4,Cargo and ballast valve testing.
8.99.5,Fixed cargo tank level gauging system.
8.99.6,Stability and loading instrument(s)
8.99.7,Loading limitations
8.99.8,Cargo Transfer hoses.
8.99.9,"Cargo and ballast system controls, indicators, mimics and displays."
8.99.10,Cargo system bonding arrangements.
8.99.11,Independent verification of cargo piping systems line up.
9.1.1,Testing and correct operation of the mooring winch brakes
9.1.2,Was the vessel satisfactorily moored
9.1.3,Line Management Plan (LMP) implementation.
9.1.4,"Mooring lines, tails and mooring shackles."
9.2.1,Emergency towing procedure and equipment
9.3.1,Anchoring operations
9.4.1,Mooring team supervision and composition
9.4.2,Dangers of working with and around mooring lines
9.5.1,STS operations checklists
9.5.2,STS Joint Plan of Operation (JPO)
9.5.3,STS Operations Plan
9.6.1,Vapour hose securing arrangement for buoy moorings.
9.6.2,SPM mooring arrangements.
9.7.1,Shuttle tanker bow mooring system
10.1.1,Chief Engineer's standing and daily orders
10.1.2,"Testing main propulsion, steering gear, thrusters & power generation plant"
10.1.3,Periodic rounds of machinery space for non-UMS vessels
10.1.4,Periodic machinery space rounds during both manned and unmanned (UMS) periods
10.1.5,Local control of propulsion machinery
10.2.1,Emergency generator
10.2.2,Battery emergency source of power.
10.2.3,Exhaust gas cleaning system (EGCS)
10.2.4,seawater pipelines
10.2.5,Bilge monitoring devices
10.2.6,Emergency compressed air machinery starting system.
10.3.1,Switchboard deck insulation.
10.3.2,Electrical distribution system switchboard earth monitoring.
10.3.3,Entry into the machinery space during UMS.
10.3.4,Engineers' alarm.
10.3.5,Machinery alarm
10.3.6,Watertight doors.
10.3.7,Gas welding and cutting equipment.
10.3.8,Electric welding equipment.
10.4.1,Planned maintenance system (PMS)
10.4.2,Lube oil and hydraulic oil analysis program
10.5.1,Conventional bunkering operations
10.5.2,Bunker fuel oil sampling and analysis
10.5.3,Fuel change over procedures
10.6.1,LNG fuel tank water-spray system
10.6.2,LNG gas fuel bunkering ESD system
10.6.3, LNG (or other low-flashpoint fuel) bunkering procedures.
10.6.4,LNG fuel bunkering control station and manifold.
10.7.1,Remote controls for fuel and lube oil system valves
10.7.2,Fire prevention in machinery spaces - hot surfaces and oil spray
10.7.3,Main engine crank case monitoring.
10.7.4,Hydraulic power packs fire protection measures.
11.1.1,Bow area from dead ahead
11.1.2,Hull forward end starboard side
11.1.3,Hull forward end port side
11.1.4,Hull aft end starboard side
11.1.5,Hull aft end port side
11.1.6,Transom from right astern
11.1.7,Forecastle port side looking towards fairleads
11.1.8,Forecastle starboard side looking towards fairleads
11.1.9,Port or starboard windlass
11.1.10,Forward main deck showing condition of deck (and external framing)
11.1.11,Forward main deck showing condition of Piperack
11.1.12,One mooring winch including the brake setting arrangement
11.1.13,One hose crane with an overall view
11.1.14,"One hose crane hoisting winch, stowed wire and limit switches"
11.1.15,Starboard manifold looking from aft to forward
11.1.16,Starboard manifold looking forward to aft
11.1.17,Aft main deck showing condition of deck (and external framing)
11.1.18,Aft main deck showing condition of Piperack
11.1.19,Poop deck looking from midships to starboard including fairleads
11.1.20,Aft emergency towing equipment storage arrangement
11.1.21,Aft emergency towing equipment deployment system
11.1.22,Lifeboat and davit
11.1.23,The emergency generator or accumulator batteries
11.1.24,Engine room general view showing top of main engine
11.1.25,One generator engine
11.1.26,The oil filtering equipment
11.1.27,The incinerator
11.1.28,One boiler from the front
11.1.29,One boiler from the top showing control equipment
11.1.30,Purifier room general view
11.1.31,Main engine side showing local control station
11.1.32,Steering gear room general view showing access
11.1.33,Main steering gear
11.1.40,IG system pressure/vacuum-breaking (P/V) device
11.1.41,IG system first non-return device (deck seal or double block and bleed arrangement)
11.1.42,"One main cargo pump and, if in pump room, including bilges"
11.1.50,A cargo tank liquid dome including load and discharge valve
11.1.51,Electric motors for deepwell pumps
11.1.52,Compressor / motor room
11.1.60,A cargo tank liquid dome including load and discharge valve
11.1.61,Electric motors for deepwell pumps
11.1.62,Compressor room internal view
11.1.70,A cargo tank liquid dome including load and discharge valve
11.1.71,A cargo tank vapour dome including cargo system relief valves
11.1.72,Compressor house internal view
11.1.80, A cargo tank liquid dome including load and discharge valve
11.1.81,General view of one moss sphere
11.1.82,Compressor house internal view
11.1.90,Bow mooring arrangement from forward looking aft showing chain stopper
11.1.91,Bow mooring arrangement from aft looking forward showing winch
11.1.92,General view of hose connection area
11.1.93,Hose coupling arrangement
11.1.94,General view forward bow thruster room
11.1.95,Forward bow thruster room showing one azimuth thruster
12.1.1,Polar Code training
12.2.1,Life-saving and fire-fighting systems and equipment in sub-zero temperatures
12.3.1,Engine room machinery and systems in sub-zero temperatures
12.4.1,Cargo and ballast systems in sub-zero temperatures
12.5.1,Deck machinery and mooring equipment in sub-zero temperatures
12.6.1,Navigating in areas affected by ice
