Code,,ParentCode,MainGroup,SubGroup
1,SHIP GENERAL,,SHIP GENERAL,
2,HULL,,HULL,
3,EQUIPMENT FOR CARGO,,EQUIPMENT FOR CARGO,
4,SHIP EQUIPMENT,,SHIP EQUIPMENT,
5,EQUIPMENT FOR CREW AND PASSENGERS,,EQUIPMENT FOR CREW AND PASSENGERS,
6,MACHINERY MAIN COMPONENTS,,MACHINERY MAIN COMPONENTS,
7,SYSTEMS FOR MACHINERY MAIN COMPONENTS,,SYSTEMS FOR MACHINERY MAIN COMPONENTS,
8,SHIP COMMON SYSTEMS,,SHIP COMMON SYSTEMS,
10,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES",1,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
11,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION",1,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
12,"QUALITY ASSURANCE, GENERAL WORK, MODELS",1,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
13,PROVISIONAL RIGGING,1,SHIP GENERAL,PROVISIONAL RIGGING
14,"WORK ON WAYS, LAUNCHING, DOCKING",1,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
15,"QUALITY CONTROL, MEASUREMENTS, TESTS, TRIALS",1,SHIP GENERAL,"QUALITY CONTROL, MEASUREMENTS, TESTS, TRIALS"
16,GUARANTEE/MENDING WORK,1,SHIP GENERAL,GUARANTEE/MENDING WORK
17,"SHIP REPAIR, SPECIAL SERVICES",1,SHIP GENERAL,"SHIP REPAIR, SPECIAL SERVICES"
19,CONSUMPTION ARTICLES,1,SHIP GENERAL,CONSUMPTION ARTICLES
20,"HULL MATERIALS, GENERAL HULL WORK",2,HULL,"HULL MATERIALS, GENERAL HULL WORK"
21,AFTERBODY,2,HULL,AFTERBODY
22,ENGINE AREA,2,HULL,ENGINE AREA
23,CARGO AREA - HULL SMALL VESSELS,2,HULL,CARGO AREA - HULL SMALL VESSELS
24,FOREBODY,2,HULL,FOREBODY
25,DECK HOUSES & SUPERSTRUCTURES,2,HULL,DECK HOUSES & SUPERSTRUCTURES
26,HULL OUTFITTING,2,HULL,HULL OUTFITTING
27,"MATERIAL PROTECTION, EXTERNAL",2,HULL,"MATERIAL PROTECTION, EXTERNAL"
28,"MATERIAL PROTECTION, INTERNAL",2,HULL,"MATERIAL PROTECTION, INTERNAL"
29,MISCELLANEOUS HULL WORK (NOT STANDARD),2,HULL,MISCELLANEOUS HULL WORK (NOT STANDARD)
30,"HATCHES, PORTS",3,EQUIPMENT FOR CARGO,"HATCHES, PORTS"
31,EQUIPMENT FOR CARGO IN HOLDS/ON DECK,3,EQUIPMENT FOR CARGO,EQUIPMENT FOR CARGO IN HOLDS/ON DECK
32,SPECIAL CARGO HANDLING EQUIPMENT,3,EQUIPMENT FOR CARGO,SPECIAL CARGO HANDLING EQUIPMENT
33,DECK CRANES FOR CARGO,3,EQUIPMENT FOR CARGO,DECK CRANES FOR CARGO
34,"MASTS, DERRICK POSTS, RIGGING & WINCHES FOR CARGO",3,EQUIPMENT FOR CARGO,"MASTS, DERRICK POSTS, RIGGING & WINCHES FOR CARGO"
40,MANOEUVRING MACHINERY & EQUIPMENT,4,SHIP EQUIPMENT,MANOEUVRING MACHINERY & EQUIPMENT
41,NAVIGATION & SEARCHING EQUIPMENT,4,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
42,COMMUNICATION EQUIPMENT,4,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
43,"ANCHORING, MOORING & TOWING EQUIPMENT",4,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
44,"REP./MAINT./CLEAN. EQUIP. WORKSHOP/STORE OUTFIT, NAME PLATES",4,SHIP EQUIPMENT,"REP./MAINT./CLEAN. EQUIP. WORKSHOP/STORE OUTFIT, NAME PLATES"
45,LIFTING & TRANSPORT EQUIPMENT FOR MACHINERY COMPONENTS,4,SHIP EQUIPMENT,LIFTING & TRANSPORT EQUIPMENT FOR MACHINERY COMPONENTS
46,HUNTING & FISHING EQUIPMENT,4,SHIP EQUIPMENT,HUNTING & FISHING EQUIPMENT
47,"ARMAMENT, WEAPON & WEAPON COUNTERMEASURES",4,SHIP EQUIPMENT,"ARMAMENT, WEAPON & WEAPON COUNTERMEASURES"
48,SPECIAL EQUIPMENT,4,SHIP EQUIPMENT,SPECIAL EQUIPMENT
49,FISH PROCESSING EQUIPMENT,4,SHIP EQUIPMENT,FISH PROCESSING EQUIPMENT
50,"LIFESAVING, PROTECTION & MEDICAL EQUIPMENT",5,EQUIPMENT FOR CREW AND PASSENGERS,"LIFESAVING, PROTECTION & MEDICAL EQUIPMENT"
51,"INSULATION, PANELS, BULKHEADS, DOORS, SIDESCUTTLES, SKYLIGHTS",5,EQUIPMENT FOR CREW AND PASSENGERS,"INSULATION, PANELS, BULKHEADS, DOORS, SIDESCUTTLES, SKYLIGHTS"
52,"INTERNAL DECK COVERING, LADDERS, STEPS, RAILING",5,EQUIPMENT FOR CREW AND PASSENGERS,"INTERNAL DECK COVERING, LADDERS, STEPS, RAILING"
53,"EXT. DECK COVERING, LADDERS, STEPS, FORE & AFT GANGWAY",5,EQUIPMENT FOR CREW AND PASSENGERS,"EXT. DECK COVERING, LADDERS, STEPS, FORE & AFT GANGWAY"
54,"FURNITURE, INVENTORY, ENTERTAINMENT EQUIPMENT",5,EQUIPMENT FOR CREW AND PASSENGERS,"FURNITURE, INVENTORY, ENTERTAINMENT EQUIPMENT"
55,"GALLEY/PANTRY EQUIP., PROVISION PLANTS, LAUNDRY/IRONING EQU.",5,EQUIPMENT FOR CREW AND PASSENGERS,"GALLEY/PANTRY EQUIP., PROVISION PLANTS, LAUNDRY/IRONING EQU."
