id,timestamp_utc,vessel_id,spare_id,part_code,part_name,component_id,component_code,component_name,component_spare_code,event_type,qty_change,rob_after,user_id,remarks,reference,date_local,tz,place
484,2026-03-11 00:00:00,7440571a-841a-11ed-aa7c-7003bca91a86,4505,MV0001-05049,Trunk Plate,COMP-1768374767799-zs6hrf8cm,401.005,Rudders W/Nozzle,SP-401.005-049,CONSUME,-2,2,6084f3b8-85dc-462a-b045-111d2b2e6d0e,Consumed for WO WO-712.011.01-2026-132,WO-712.011.01-2026-132,11-Mar-2026 00:00,UTC,
2523,2026-03-03 00:00:00,7440571a-841a-11ed-aa7c-7003bca91a86,4619,MV0001-05163,Manual Exp. Valve,COMP-1768374767815-k5anrfi02,554.001,Provision Cooling Compressor Aggregates,SP-554.001-163,CONSUME,-2,3,3rd Engineer,Consumed during maintenance - UWO-653.020-2026-758,UWO-653.020-2026-758,03-Mar-2026,UTC,
2522,2026-03-03 00:00:00,7440571a-841a-11ed-aa7c-7003bca91a86,5432,MV0001-05976,Cylinder Cover,COMP-1768374768525-zyps62yum,712.011.02,LO Separators No.02,SP-702.005.01-976,CONSUME,-2,1,3rd Engineer,Consumed during maintenance - UWO-653.020-2026-758,UWO-653.020-2026-758,03-Mar-2026,UTC,
483,2026-03-03 00:00:00,7440571a-841a-11ed-aa7c-7003bca91a86,4705,MV0001-05249,Bolt,COMP-1768374767837-m3bhk56ru,601.059,ME Exhaust Gas Manifolds/Pipes W/Insulation,SP-601.059-249,CONSUME,-1,0,6084f3b8-85dc-462a-b045-111d2b2e6d0e,Consumed for WO UWO-653.020-2026-758,UWO-653.020-2026-758,03-Mar-2026 00:00,UTC,
482,2026-02-23 00:00:00,7440571a-841a-11ed-aa7c-7003bca91a86,4813,MV0001-05357,Bearing Drive End,COMP-1768374767899-slkigc1i8,665.001,"Emergency Generator Aggregates, Complete",SP-665.001-357,CONSUME,-1,4,228b5256-5bd2-4bf3-826f-c6fe76571449,Consumed for WO WO-652.001-2026-068,WO-652.001-2026-068,23-Feb-2026 00:00,UTC,
2181,2026-02-22 00:00:00,7440571a-841a-11ed-aa7c-7003bca91a86,5084,MV0001-05628,O-Ring,COMP-1768374767830-uxleqdvg1,601.018,ME Crankcases,SP-601.018-628,CONSUME,-1,4,2nd Engineer,Consumed during maintenance - WO-601.018-2026-036,WO-601.018-2026-036,22-Feb-2026,UTC,
2180,2026-02-22 00:00:00,7440571a-841a-11ed-aa7c-7003bca91a86,5083,MV0001-05627,Gasket,COMP-1768374767830-uxleqdvg1,601.018,ME Crankcases,SP-601.018-627,CONSUME,-1,4,2nd Engineer,Consumed during maintenance - WO-601.018-2026-036,WO-601.018-2026-036,22-Feb-2026,UTC,
2183,2026-02-19 00:00:00,7440571a-841a-11ed-aa7c-7003bca91a86,5029,MV0001-05573,Expansion Valve,COMP-1768374767974-ma2l45pdf,554.005.02,Condensers No.02,SP-554.005.01-573,CONSUME,-2,2,Chief Engineer,Consumed during maintenance - UWO-554.005.02-2026-633,UWO-554.005.02-2026-633,19-Feb-2026,UTC,
2993,2026-02-14 00:00:00,7440571a-841a-11ed-aa7c-7003bca91a86,4814,MV0001-05358,Foot,COMP-1768374767899-slkigc1i8,665.001,"Emergency Generator Aggregates, Complete",SP-665.001-358,CONSUME,-1,4,3rd Engineer,Consumed during maintenance - WO-702.005.02-2026-119,WO-702.005.02-2026-119,14-Feb-2026,UTC,
2992,2026-02-14 00:00:00,7440571a-841a-11ed-aa7c-7003bca91a86,4983,MV0001-05527,Elbow,COMP-1768374767967-jb4k6wuji,554.003.02,Compressors W/Drive Unit No.02,SP-554.003.01-527,CONSUME,-1,3,3rd Engineer,Consumed during maintenance - WO-702.005.02-2026-119,WO-702.005.02-2026-119,14-Feb-2026,UTC,
