id,vessel_id,section,item_id,part_code,item_name,uom,event_type,qty_change_base,qty_display,uom_display,rob_after_base,date_local,tz,timestamp_utc,place,ref,user_id,remarks
3940,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-111.50,-111.50,ltr,0.00,12-Feb-2026 07:38,UTC,2026-02-12 07:38:00,,,6084f3b8-85dc-462a-b045-111d2b2e6d0e,Daily cylinder oil consumption - 111.5 ltr
3939,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-120.00,-120.00,ltr,0.00,11-Feb-2026 07:04,UTC,2026-02-11 07:04:00,,,480b40d0-04bd-4590-a936-2f879b867977,Daily cylinder oil consumption - 120.0 ltr
4088,7440571a-841a-11ed-aa7c-7003bca91a86,chemicals,166,CH-0006,Tank Cleaning Chemical (Alkaline),ltr,CONSUME,-23.70,-23.70,ltr,4780.30,10-Feb-2026 12:05,UTC,2026-02-10 12:05:00,,,6084f3b8-85dc-462a-b045-111d2b2e6d0e,Chemical consumption - Tank Cleaning Chemical (Alkaline)
3938,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-82.30,-82.30,ltr,0.00,10-Feb-2026 07:13,UTC,2026-02-10 07:13:00,,,228b5256-5bd2-4bf3-826f-c6fe76571449,Daily cylinder oil consumption - 82.3 ltr
3937,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-69.60,-69.60,ltr,0.00,09-Feb-2026 08:20,UTC,2026-02-09 08:20:00,,,056a433e-b880-43c6-9d59-b1cfe71a4014,Daily cylinder oil consumption - 69.6 ltr
2476,7440571a-841a-11ed-aa7c-7003bca91a86,chemicals,163,CH-0003,Boiler Water Treatment Chemical,ltr,CONSUME,-1.56,-1.56,ltr,0.00,09-Feb-2026 00:00,UTC,2026-02-09 00:00:00,,,6084f3b8-85dc-462a-b045-111d2b2e6d0e,Weekly chemical consumption
2477,7440571a-841a-11ed-aa7c-7003bca91a86,chemicals,169,CH-0009,Sewage Treatment Plant Chemical,ltr,CONSUME,-1.32,-1.32,ltr,0.00,09-Feb-2026 00:00,UTC,2026-02-09 00:00:00,,,056a433e-b880-43c6-9d59-b1cfe71a4014,Weekly chemical consumption
2475,7440571a-841a-11ed-aa7c-7003bca91a86,chemicals,162,CH-0002,Lube Oil Treatment Chemical,ltr,CONSUME,-0.19,-0.19,ltr,0.00,09-Feb-2026 00:00,UTC,2026-02-09 00:00:00,,,228b5256-5bd2-4bf3-826f-c6fe76571449,Weekly chemical consumption
3936,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-120.00,-120.00,ltr,0.00,08-Feb-2026 07:44,UTC,2026-02-08 07:44:00,,,480b40d0-04bd-4590-a936-2f879b867977,Daily cylinder oil consumption - 120.0 ltr
3935,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-64.90,-64.90,ltr,0.00,07-Feb-2026 07:09,UTC,2026-02-07 07:09:00,,,6084f3b8-85dc-462a-b045-111d2b2e6d0e,Daily cylinder oil consumption - 64.9 ltr
3934,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-120.00,-120.00,ltr,0.00,06-Feb-2026 06:05,UTC,2026-02-06 06:05:00,,,6084f3b8-85dc-462a-b045-111d2b2e6d0e,Daily cylinder oil consumption - 120.0 ltr
3933,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-120.00,-120.00,ltr,0.00,05-Feb-2026 07:32,UTC,2026-02-05 07:32:00,,,228b5256-5bd2-4bf3-826f-c6fe76571449,Daily cylinder oil consumption - 120.0 ltr
3932,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-67.00,-67.00,ltr,0.00,04-Feb-2026 07:01,UTC,2026-02-04 07:01:00,,,480b40d0-04bd-4590-a936-2f879b867977,Daily cylinder oil consumption - 67.0 ltr
3931,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-82.10,-82.10,ltr,0.00,03-Feb-2026 06:14,UTC,2026-02-03 06:14:00,,,480b40d0-04bd-4590-a936-2f879b867977,Daily cylinder oil consumption - 82.1 ltr
3930,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-120.00,-120.00,ltr,0.00,02-Feb-2026 07:04,UTC,2026-02-02 07:04:00,,,228b5256-5bd2-4bf3-826f-c6fe76571449,Daily cylinder oil consumption - 120.0 ltr
2474,7440571a-841a-11ed-aa7c-7003bca91a86,chemicals,170,CH-0010,Hand Cleaning Chemical (Industrial Soap),ltr,CONSUME,-0.17,-0.17,ltr,0.00,02-Feb-2026 00:00,UTC,2026-02-02 00:00:00,,,480b40d0-04bd-4590-a936-2f879b867977,Weekly chemical consumption
2473,7440571a-841a-11ed-aa7c-7003bca91a86,chemicals,167,CH-0007,Degreasing Chemical,ltr,CONSUME,-1.59,-1.59,ltr,0.00,02-Feb-2026 00:00,UTC,2026-02-02 00:00:00,,,228b5256-5bd2-4bf3-826f-c6fe76571449,Weekly chemical consumption
2472,7440571a-841a-11ed-aa7c-7003bca91a86,chemicals,165,CH-0005,Potable Water Chlorination Chemical,ltr,CONSUME,-1.33,-1.33,ltr,0.00,02-Feb-2026 00:00,UTC,2026-02-02 00:00:00,,,056a433e-b880-43c6-9d59-b1cfe71a4014,Weekly chemical consumption
2471,7440571a-841a-11ed-aa7c-7003bca91a86,chemicals,164,CH-0004,Cooling Water Treatment Chemical,ltr,CONSUME,-1.74,-1.74,ltr,0.00,02-Feb-2026 00:00,UTC,2026-02-02 00:00:00,,,6084f3b8-85dc-462a-b045-111d2b2e6d0e,Weekly chemical consumption
3929,7440571a-841a-11ed-aa7c-7003bca91a86,lubes,151,LU-0001,Main Engine Cylinder Oil,ltr,CONSUME,-97.80,-97.80,ltr,0.00,01-Feb-2026 06:08,UTC,2026-02-01 06:08:00,,,6084f3b8-85dc-462a-b045-111d2b2e6d0e,Daily cylinder oil consumption - 97.8 ltr
2470,7440571a-841a-11ed-aa7c-7003bca91a86,stores,177,OT-0007,"Bilges, chain lockers",ltr,CONSUME,-3.50,-3.50,ltr,0.00,01-Feb-2026 00:00,UTC,2026-02-01 00:00:00,,,056a433e-b880-43c6-9d59-b1cfe71a4014,General stores consumption
1162,7440571a-841a-11ed-aa7c-7003bca91a86,chemicals,167,CH-0007,Degreasing Chemical,ltr,CONSUME,-3.00,-3.00,ltr,11.00,31-Jan-2026 21:57,UTC,2026-01-31 21:57:00,,WO-2025-012,1,Navigation equipment maintenance
